index,dong,name_subway,Latitude,Longitude,MF,EF,TF,SF,y
202,종로구,S_종로3가(5)역,37.5725356,126.9899825,2.543086911,1.67649,1.35018,1.144040006693595,1.600491106
203,종로구,S_종로5가역,37.5719416,127.0043274,1.334552703,0.717444,1.84349,1.2431889205303577,0.932418091
204,종로구,S_창신역,37.5762104,127.0152403,2.543086911,1.67649,0.504819,1.168636278508025,1.3846733
205,종로구,S_혜화역,37.5769696,127.0020331,2.543086911,1.67649,1.83371,0.9946997178753367,1.761974303
206,중구,S_동대문역사문화공원(4)역,37.5599921,127.0053457,3.152320714,4.34599,1.83571,1.121141621237759,2.747838209
207,중구,S_명동역,37.5609724,126.9945971,3.152320714,4.34599,1.49493,1.192045343246869,2.602009276
208,중구,S_버티고개역,37.5584387,127.0119475,3.152320714,4.34599,0.98743,1.1322099707578885,2.54884496
209,중구,S_서울(1)역,37.5624945,126.9752957,2.553139908,3.2786,1.4848,1.2400252374480794,2.045917809
210,중구,S_시청역,37.5612786,126.9693213,3.152320714,4.34599,1.4995,1.1475700284952337,2.594546823
211,중구,S_신당(2)역,37.5609724,126.9945971,3.152320714,4.34599,0.980691,1.192045343246869,2.49630377
212,중구,S_약수(3)역,37.5584387,127.0119475,3.152320714,4.34599,0.98743,1.1322099707578885,2.54884496
213,중구,S_을지로3가(2)역,37.5665899,126.9982939,3.152320714,4.34599,1.44127,1.2956157356845113,2.561657314
214,중구,S_을지로4가(2)역,37.5665899,126.9982939,3.152320714,4.34599,1.44127,1.2956157356845113,2.561657314
215,중구,S_을지로4가(5)역,37.5660599,126.9979537,3.152320714,4.34599,1.44177,1.2991559803312112,2.561749577
216,중구,S_을지로입구역,37.5665899,126.9982939,3.152320714,4.34599,1.44127,1.2956157356845113,2.561657314
217,중구,S_청구(5)역,37.5608109,127.0137038,3.152320714,4.34599,0.986502,1.20271199336891,2.511127462
218,중구,S_충무로역,37.5609724,126.9945971,3.152320714,4.34599,1.43775,1.192045343246869,2.590255518
219,중구,S_회현역,37.5609724,126.9945971,3.152320714,4.34599,1.49493,1.192045343246869,2.602009276
220,중랑구,S_먹골역,37.6042971,127.0780346,0.317919751,-1.30615,0.922639,-0.4887057310076985,-0.013506652
221,중랑구,S_면목역,37.5841989,127.0866148,0.317919751,-1.30615,1.59623,-0.33094779375503286,0.190348315
222,중랑구,S_봉화산역,37.6083906,127.0954925,0.317919751,-1.30615,-0.0250391,-1.0640874041425032,-0.082911504
223,중랑구,S_사가정역,37.5808016,127.0875826,0.317919751,-1.30615,1.67309,-0.3859255943734416,0.264405518
224,중랑구,S_상봉역,37.5967056,127.0860055,0.317919751,-1.30615,0.109788,-0.35472969859122744,-0.202351896
225,중랑구,S_신내역,37.6115753,127.1077606,0.317919751,-1.30615,-0.0700129,-1.642024920442353,-0.034252248
